Income,Age,Education,Residence
55,20,16,North
97,64,16,South
67,20,10,North
69,53,16,North
97,66,18,West
76,30,15,West
79,47,18,West
75,48,12,West
72,26,19,West
95,70,14,West
88,41,19,West
89,60,14,West
100,65,19,West
90,69,17,West
84,32,19,West
61,48,15,West
52,20,15,North
119,53,18,South
108,67,18,South
87,50,14,South
56,42,19,North
59,37,13,North
73,31,16,West
73,42,13,West
103,66,19,West
85,35,14,West
51,27,11,North
48,21,19,North
73,44,13,West
67,44,12,West
93,68,19,West
66,24,17,West
115,67,17,South
94,35,17,South
57,22,20,North
101,57,19,South
99,69,11,South
70,20,15,West
95,54,17,West
62,22,18,West
84,59,11,West
65,33,10,West
81,36,14,West
85,60,11,West
65,26,16,West
81,39,15,West
66,27,16,West
74,29,17,West
81,46,11,West
60,50,11,North
90,46,19,West
57,39,16,North
101,55,20,South
87,50,14,South
115,62,14,South
124,69,20,South
110,57,19,South
128,70,16,South
77,55,17,South
105,68,17,South
114,70,19,South
87,48,14,South
52,42,11,North
78,47,13,South
72,46,11,West
102,62,13,South
86,65,17,South
128,66,18,South
100,54,14,South
87,32,17,South
48,25,17,North
83,37,18,South
89,42,12,South
83,68,11,South
123,67,19,South
78,41,14,West
79,42,15,West
91,44,15,West
36,19,11,East
68,33,16,West
112,56,19,West
63,35,20,West
87,51,17,West
84,52,18,West
89,41,16,West
43,40,11,North
52,23,15,North
97,41,12,West
51,20,14,North
88,53,14,West
92,58,14,West
63,41,11,West
106,63,12,South
96,66,12,South
96,53,16,South
84,56,13,South
98,38,19,South
65,22,18,West
96,66,16,West
77,51,19,West
73,32,16,West
105,48,12,West
67,19,19,West
106,66,12,West
82,52,20,West
73,50,12,West
83,38,19,West
93,60,13,West
90,60,11,West
66,45,13,West
89,51,17,West
103,56,17,South
63,29,20,North
66,48,12,North
65,19,19,North
79,27,17,West
66,33,19,West
79,27,17,West
87,46,20,West
53,24,11,North
99,60,18,West
89,68,18,West
61,23,14,West
104,67,13,South
67,35,17,West
44,22,18,North
62,34,17,West
45,27,11,North
81,51,17,West
78,46,11,West
88,41,20,West
64,41,19,West
52,36,12,North
81,53,19,West
75,35,14,West
58,24,17,North
96,70,13,West
71,25,12,North
59,53,10,North
78,52,17,North
100,56,17,West
67,45,16,North
89,22,19,North
64,31,19,West
61,31,14,West
102,60,10,South
72,43,12,West
77,48,18,West
67,34,18,West
86,65,18,West
69,27,13,West
86,38,19,West
91,43,16,West
65,48,11,West
107,61,15,South
57,25,15,North
81,24,17,West
65,18,15,West
78,42,17,West
86,50,19,West
102,67,15,South
56,21,18,North
49,32,12,North
87,49,18,West
65,36,19,West
62,29,14,West
134,68,14,South
105,66,16,South
51,33,19,North
106,67,18,South
88,62,14,South
99,60,11,South
54,18,16,North
55,32,11,North
62,35,14,West
90,46,19,West
97,52,18,West
121,68,17,West
85,34,20,West
55,28,11,North
38,37,11,East
78,39,19,West
67,45,14,West
111,70,18,South
87,69,11,South
99,58,15,South
65,22,20,North
48,31,13,North
71,38,15,North
71,22,19,North
77,41,19,North
103,64,19,South
108,65,20,South
95,41,19,South
81,53,10,South
77,40,16,West
103,69,10,West
74,60,19,West
42,31,10,North
100,63,19,West
72,38,10,West
67,26,13,West
70,19,14,West
127,64,17,South
89,41,14,South
109,59,17,South
62,31,13,North
50,19,11,North
88,52,16,North
84,53,13,North
75,39,19,North
98,66,10,South
60,62,13,North
105,56,18,South
57,32,15,North
69,31,17,West
33,21,11,East
96,63,11,West
89,47,19,West
76,51,12,West
58,42,13,North
64,38,10,West
73,44,11,West
75,19,20,West
71,35,15,West
61,23,18,West
92,50,18,West
43,54,11,North
74,66,11,West
93,65,11,South
90,57,20,South
70,29,11,West
87,61,12,West
60,37,14,North
108,64,17,South
76,37,20,West
93,64,14,West
62,23,10,West
97,61,17,South
95,54,16,South
54,23,15,North
99,30,14,South
69,67,13,North
76,30,14,North
114,44,20,South
77,37,11,North
81,53,14,North
58,21,12,North
49,21,11,North
63,42,12,North
70,30,12,North
73,38,20,North
48,19,19,North
104,64,14,South
79,46,12,South
97,53,11,South
98,60,13,South
50,30,12,North
70,37,17,West
50,27,19,North
64,49,18,West
62,39,14,West
55,27,16,North
83,33,13,West
84,45,19,West
81,45,16,West
75,50,11,West
99,59,19,West
64,50,17,West
69,49,12,West
75,32,16,West
58,31,12,North
96,53,15,South
101,68,13,South
67,20,11,North
49,29,14,North
75,27,19,North
55,24,10,North
65,56,17,North
55,29,11,North
91,59,19,North
63,33,11,North
92,59,15,North
80,47,14,West
35,25,10,East
93,60,10,West
86,53,11,West
117,60,20,South
109,64,15,South
87,57,14,West
39,23,16,East
89,63,11,West
88,29,20,West
79,53,13,West
84,65,13,West
82,34,18,West
86,61,18,West
54,44,14,North
93,53,11,West
57,19,18,North
75,45,19,West
49,20,17,North
50,45,12,North
58,29,10,North
66,32,18,West
58,25,10,North
109,69,10,South
54,28,18,North
75,61,19,West
117,67,18,West
41,19,14,North
77,36,15,West
50,18,19,North
88,60,16,West
49,38,11,North
39,22,11,East
72,51,14,West
93,40,13,West
61,54,12,West
92,65,13,West
91,42,19,West
70,42,12,West
72,56,15,West
56,35,12,North
97,65,15,West
64,26,20,West
30,25,11,East
59,23,13,North
95,64,19,South
101,59,17,South
59,36,12,North
83,55,17,West
93,69,14,West
91,65,12,West
85,69,14,West
73,21,19,West
100,50,18,South
49,24,19,North
113,64,20,South
83,36,15,South
124,68,18,South
48,38,10,North
55,52,13,North
102,62,18,South
92,23,18,South
73,39,20,West
94,57,15,South
107,61,18,South
99,68,18,South
35,30,15,East
79,50,16,West
94,60,12,West
54,32,13,North
72,40,15,West
68,40,10,West
98,68,17,West
68,31,12,West
86,51,20,West
67,36,13,West
102,68,12,South
59,34,12,North
79,38,18,South
102,56,20,South
52,25,19,North
99,52,16,South
63,29,18,North
74,61,12,North
78,40,18,North
50,24,17,North
93,70,18,South
100,45,17,South
86,33,17,South
106,59,18,South
53,48,13,North
92,34,18,South
59,39,16,North
44,24,14,North
69,37,13,West
100,64,20,South
105,64,18,South
112,59,17,South
86,49,14,West
63,29,14,West
60,43,12,North
94,56,15,West
74,26,17,West
107,57,16,South
113,69,14,South
56,35,18,North
72,46,15,North
61,26,16,North
47,28,12,North
49,21,17,North
78,48,13,North
84,50,15,West
54,19,15,North
88,51,20,West
61,39,12,West
93,48,14,West
110,61,18,West
66,38,19,West
56,19,17,North
71,58,17,West
86,35,19,West
91,48,19,West
61,36,17,West
69,41,20,West
67,50,14,West
95,57,19,West
18,20,11,East
83,50,17,West
33,28,16,East
106,63,13,West
81,42,20,West
81,31,19,West
50,28,11,North
95,69,12,West
39,35,11,East
41,21,16,North
77,38,19,West
96,52,19,West
55,40,16,North
49,28,19,North
63,32,11,West
71,53,13,West
94,57,14,West
52,21,14,North
72,59,13,West
109,63,11,South
86,52,19,South
74,66,12,West
112,59,17,South
104,68,11,South
51,36,14,North
105,50,13,South
73,40,17,South
101,62,18,South
106,57,18,South
81,26,13,South
99,41,15,South
90,57,12,South
88,61,17,South
69,28,20,North
51,23,11,North
84,45,20,North
51,22,14,North
84,46,14,North
49,35,11,North
126,56,20,South
100,63,14,South
101,63,17,South
73,43,17,West
74,68,13,West
49,18,18,North
60,44,10,North
86,68,19,West
72,46,16,West
89,56,18,West
81,46,17,West
77,54,12,West
77,33,16,West
106,68,18,South
68,27,15,West
50,27,14,North
66,39,11,West
65,22,11,West
69,41,18,West
55,24,13,North
50,25,13,North
69,41,11,West
59,36,20,North
44,22,15,North
86,60,11,West
56,21,16,North
64,37,14,West
54,26,13,North
52,32,11,North
72,50,12,West
94,54,16,South
116,69,16,South
94,66,12,South
71,38,12,South
102,48,18,South
89,38,13,South
80,43,13,South
106,52,16,South
108,69,13,South
96,54,17,South
71,44,10,North
52,21,15,North
95,56,13,West
16,25,10,East
88,53,19,West
36,23,16,East
81,44,13,West
75,57,11,West
99,70,17,South
56,32,11,North
102,53,19,South
103,65,14,South
93,62,20,South
86,61,14,South
103,50,19,South
43,23,20,North
63,25,15,West
76,31,18,West
70,42,11,West
94,68,16,West
95,59,11,West
97,52,16,West
86,46,20,West
42,20,13,North
81,48,16,West
75,45,15,West
75,52,18,West
52,27,12,North
94,52,20,West
89,53,16,West
57,21,18,North
97,58,11,West
70,28,19,West
73,28,14,West
70,36,11,West
75,32,19,West
85,54,19,West
41,26,15,North
79,21,12,West
85,53,13,West
55,21,13,North
91,47,13,West
97,49,14,West
70,29,12,West
53,47,12,North
76,59,10,West
78,36,19,West
103,63,16,South
88,41,14,South
73,45,16,North
52,19,18,North
50,20,11,North
72,63,17,North
101,63,15,West
72,46,10,West
63,43,12,West
66,30,19,West
61,21,17,West
112,58,18,South
79,26,16,South
113,59,17,South
77,56,11,West
96,43,18,West
45,22,15,North
99,61,16,West
71,36,13,West
70,30,14,West
44,27,12,North
74,38,12,West
62,24,15,West
55,34,13,North
74,43,10,West
65,57,12,West
77,58,15,West
95,66,16,West
71,21,11,West
86,37,16,West
91,48,18,West
101,62,17,South
66,36,18,West
84,46,18,West
61,51,17,North
60,28,17,North
91,46,17,South
93,60,11,South
64,21,17,North
56,41,13,North
67,42,10,North
76,39,19,North
43,18,12,North
79,34,16,North
88,46,19,South
97,61,12,South
101,67,12,South
54,22,12,North
14,22,12,East
80,50,12,South
76,51,12,West
58,28,12,North
74,50,12,West
76,52,12,West
70,24,12,West
65,31,12,West
57,20,12,North
55,19,12,North
42,26,12,North
49,25,12,North
30,28,12,East
58,25,12,North
63,52,12,West
75,44,12,West
72,48,12,West
63,19,12,West
74,35,12,West
57,23,12,North
55,42,12,North
87,65,12,West
105,59,12,West
39,25,12,East
31,22,12,East
83,52,12,West
79,59,12,West
81,63,12,West
97,50,12,West
41,24,12,North
67,61,12,West
91,67,12,West
72,41,12,West
62,35,12,West
96,44,12,West
91,43,12,West
66,24,12,West
91,48,12,West
63,34,12,West
63,24,12,West
91,49,12,West
63,45,12,West
26,27,12,East
85,50,12,West
68,36,12,West
57,25,12,North
63,64,12,West
81,54,12,West
38,34,12,East
93,52,12,West
65,45,12,West
26,33,12,East
79,35,12,West
84,57,12,West
72,51,12,West
89,69,12,West
79,30,12,West
81,49,12,West
61,25,12,West
75,61,12,West
69,32,12,West
99,68,12,West
61,31,12,West
58,26,12,North
75,46,12,West
72,56,12,West
39,18,12,East
39,34,12,East
97,55,12,West
72,53,12,West
63,22,12,West
64,45,12,West
44,29,12,North
105,68,12,South
118,67,12,South
94,70,12,South
53,27,12,North
45,21,12,North
55,35,12,North
63,42,12,North
63,28,12,North
99,53,12,South
91,59,12,South
48,27,12,North
77,50,12,West
59,39,12,North
82,43,12,West
54,21,12,North
63,40,12,West
34,22,12,East
91,64,12,West
43,29,12,North
69,55,12,West
74,19,12,West
60,26,12,North
76,59,12,West
83,63,12,West
81,55,12,West
92,51,12,West
99,64,12,West
65,38,12,West
83,63,12,West
59,43,12,North
104,57,12,South
97,63,12,West
56,20,12,North
66,24,12,West
60,28,12,North
69,44,12,West
79,34,12,West
64,37,12,West
60,18,12,North
75,60,12,West
93,58,12,West
74,56,12,West
77,53,12,West
32,21,12,East
35,35,12,East
73,20,12,West
109,63,12,South
104,67,12,South
94,58,12,South
65,47,12,West
45,41,12,North
126,64,12,South
77,58,12,West
65,28,12,West
67,37,12,West
61,45,12,West
85,68,12,West
77,55,12,West
55,33,12,North
69,68,12,West
97,63,12,West
94,45,12,West
79,51,12,West
82,35,12,West
72,27,12,West
43,25,12,North
65,56,12,West
94,60,12,South
91,63,12,South
82,55,12,South
98,63,12,South
29,26,12,East
93,64,12,South
101,69,12,South
42,30,12,East
71,40,12,North
70,48,12,North
88,57,12,South
83,61,12,South
114,69,12,South
69,52,12,West
50,26,12,East
84,67,12,West
37,22,12,East
60,40,12,North
59,27,12,North
70,34,12,West
39,19,12,East
91,67,12,West
60,21,12,North
98,60,12,West
56,38,12,North
61,23,12,West
62,30,12,West
56,35,12,North
58,30,12,North
81,51,12,West
77,53,12,West
83,47,12,West
41,34,12,East
81,54,12,West
52,20,12,East
88,61,12,West
69,37,12,West
73,30,12,West
30,18,12,East
56,52,12,North
104,63,12,West
61,29,12,West
88,56,12,West
69,29,12,West
84,55,12,West
87,62,12,West
78,53,12,West
82,44,12,West
86,48,12,West
58,28,12,North
86,40,12,West
86,53,12,West
81,27,12,West
103,65,12,South
92,66,12,South
102,66,12,South
74,32,12,North
91,68,12,North
42,29,12,East
77,41,12,North
74,47,12,North
69,51,12,North
65,40,12,North
98,50,12,South
57,34,12,North
55,21,12,North
93,52,12,South
69,25,12,North
78,42,12,North
53,29,12,North
104,54,12,South
60,25,12,North
87,60,12,South
52,37,12,East
93,45,12,South
46,28,12,East
86,56,12,West
47,34,12,East
36,22,12,East
80,64,12,West
91,70,12,South
38,22,12,East
113,68,12,South
61,26,12,West
43,23,12,East
65,49,12,West
78,47,12,West
80,33,12,West
75,49,12,West
69,26,12,West
48,28,12,East
110,58,12,West
74,29,12,West
101,67,12,West
47,21,12,East
71,41,12,West
99,56,12,South
112,69,12,South
48,19,12,East
71,52,12,West
66,34,12,West
72,34,12,West
82,51,12,West
80,45,12,West
74,45,12,West
44,28,12,East
43,42,12,East
58,19,12,North
66,49,12,West
68,42,12,West
63,45,12,West
70,20,12,West
83,58,12,West
57,33,12,North
55,48,12,North
77,53,12,West
71,32,12,West
59,20,12,North
98,62,12,South
91,68,12,South
37,20,12,East
93,50,12,South
78,32,12,West
75,44,12,West
43,31,12,East
76,62,12,West
87,47,12,West
59,52,12,North
67,43,12,West
82,52,12,West
57,34,12,North
58,27,12,North
63,56,12,West
49,32,12,East
85,57,12,West
59,25,12,North
62,25,12,West
31,23,12,East
83,66,12,West
77,41,12,West
52,25,12,East
67,45,12,West
63,43,12,West
79,41,12,West
84,62,12,West
86,46,12,West
67,39,12,West
90,41,12,West
87,61,12,West
35,22,12,East
53,37,12,East
86,45,12,West
78,35,12,West
68,36,12,West
104,66,12,West
48,22,12,East
52,19,12,East
82,54,16,West
50,21,16,East
79,36,16,West
92,63,16,West
67,46,16,West
121,63,16,South
75,37,16,North
71,18,16,North
60,19,16,North
93,43,16,North
87,30,16,North
80,67,16,North
99,48,16,West
103,64,16,West
65,40,16,West
101,64,16,West
100,66,16,West
83,52,16,West
85,45,16,West
93,50,16,West
81,65,16,West
75,25,16,West
49,18,16,North
107,63,16,South
71,48,16,North
103,43,16,South
75,30,16,West
81,38,16,West
54,19,16,East
61,31,16,West
86,49,16,West
115,69,16,West
80,62,16,West
68,33,16,West
42,20,16,East
56,22,16,North
93,65,16,West
80,47,16,West
102,65,16,West
90,51,16,West
59,41,16,North
81,47,16,West
93,54,16,West
67,25,16,West
50,20,16,East
86,61,16,West
90,50,16,West
64,59,16,West
64,31,16,West
71,43,16,West
93,52,16,West
84,63,16,West
70,40,16,West
90,51,16,West
98,58,16,South
103,58,16,South
53,24,16,East
90,50,16,South
84,55,16,West
79,34,16,West
83,62,16,West
101,63,16,South
77,63,16,West
99,50,16,South
115,62,16,South
60,41,16,North
54,24,16,North
61,20,16,North
68,39,16,North
95,62,16,South
39,19,16,East
56,19,16,North
101,67,16,South
67,23,16,North
68,30,16,North
60,27,16,North
78,30,16,North
34,22,16,East
107,56,16,South
86,65,16,South
85,44,16,South
83,46,16,North
94,48,16,South
59,24,16,North
57,18,16,North
69,24,16,North
98,43,16,South
24,20,16,East
71,46,16,West
67,20,16,West
43,18,16,East
66,19,16,West
80,66,16,West
89,57,16,West
84,52,16,West
90,52,16,West
55,43,16,North
59,31,16,North
52,26,16,North
103,66,16,West
74,41,16,West
72,33,16,West
86,48,16,West
72,30,16,West
87,57,16,West
90,67,16,West
53,26,16,East
93,56,16,West
60,20,16,North
88,41,16,West
82,40,16,West
75,43,16,West
47,30,16,East
72,42,16,West
90,64,16,West
105,62,16,West
80,53,16,West
72,49,16,West
47,26,16,East
122,60,16,South
60,39,16,North
88,63,16,South
96,63,16,South
99,60,16,South
58,31,16,North
62,28,16,North
68,35,16,North
62,29,16,North
114,64,16,South
76,29,16,South
36,24,16,East
85,42,16,South
82,65,16,South
70,39,16,West
74,36,16,West
69,38,16,West
80,27,16,West
79,21,16,West
47,19,16,East
76,45,16,West
103,55,16,West
89,38,16,West
75,40,16,West
78,61,16,West
109,66,16,West
72,38,16,West
74,58,16,West
103,60,16,West
66,23,16,West
47,26,16,East
74,57,16,West
58,33,16,North
48,33,16,North
104,65,16,West
78,31,16,West
69,28,16,West
57,29,16,North
75,42,16,West
77,53,16,West
98,68,16,South
104,67,16,South
103,49,16,South
59,23,16,North
86,54,16,South
47,21,16,North
68,28,16,North
56,23,16,North
80,56,16,North
95,46,16,South
96,40,16,South
76,34,16,West
58,36,16,North
63,35,16,West
78,44,16,West
76,24,16,West
53,47,16,East
83,50,16,West
57,19,16,East
84,39,16,West
95,24,16,West
99,50,16,West
64,22,16,West
106,66,16,South
111,60,16,South
58,28,16,North
83,44,16,South
79,48,16,West
81,54,16,West
52,31,16,East
62,23,16,West
64,38,16,West
34,30,16,East
70,50,16,West
78,38,16,West
103,59,16,South
48,18,16,East
96,48,16,South
107,50,16,South
130,60,16,South
99,65,16,South
82,23,16,West
67,40,16,West
101,69,16,South
53,27,16,East
90,64,16,South
68,41,16,West
83,58,16,West
70,37,16,West
65,21,16,West
56,20,16,North
79,32,16,West
90,68,16,West
88,54,16,West
73,53,16,West
35,32,16,East
37,19,16,East
111,65,16,South
73,34,16,West
100,55,16,West
79,31,16,West
103,59,16,South
71,38,16,West
38,21,16,East
76,48,16,West
49,21,16,North
84,35,16,West
88,42,16,West
79,51,16,West
97,56,16,West
74,37,16,West
77,41,16,West
67,47,16,West
58,20,16,North
61,23,16,West
80,46,16,West
80,66,16,West
53,26,16,North
79,25,16,West
74,44,16,West
99,64,16,West
95,50,16,West
74,39,16,West
105,62,16,West
92,54,16,West
89,65,16,West
100,55,16,West
62,19,16,West
75,28,16,West
62,31,16,West
67,38,16,West
73,44,16,West
90,58,16,West
44,28,16,East
81,44,16,West
63,44,16,West
66,36,16,West
82,48,16,West
44,24,16,East
58,43,16,North
55,32,16,North
84,39,16,West
98,70,16,West
69,21,16,West
73,28,16,West
71,43,16,West
85,47,16,West
97,60,16,West
67,32,16,West
104,67,16,West
54,29,16,North
85,61,16,West
79,56,16,West
79,46,16,West
100,54,16,South
93,43,16,South
93,61,16,South
50,31,16,East
99,61,16,South
91,31,16,South
122,60,16,South
62,38,16,North
67,48,16,North
62,41,16,North
77,41,16,West
99,59,16,West
57,27,16,North
87,60,16,West
109,53,16,West
70,41,16,West
105,65,16,South
86,34,16,West
97,39,16,West
62,42,16,West
108,68,16,South
83,59,16,West
84,50,16,West
81,40,16,West
62,30,16,West
99,67,16,West
91,57,16,West
