Age,Job,Marital Status,Education,Default,Balance,Housing Loan,Personal Loan,Last Contact Duration,Subscription
49,management,married,tertiary,no,3237,yes,no,232,no
42,management,married,unknown,no,275,no,no,408,no
22,blue-collar,single,secondary,no,0,yes,no,179,no
40,management,married,tertiary,no,207,yes,no,39,no
39,blue-collar,married,secondary,no,483,yes,no,282,no
51,services,married,secondary,no,2248,yes,no,714,no
49,admin.,married,secondary,no,428,yes,no,50,no
53,blue-collar,married,secondary,no,0,yes,yes,181,no
34,services,single,secondary,no,0,yes,no,142,no
33,technician,divorced,secondary,no,140,yes,no,227,no
50,management,single,tertiary,no,297,yes,no,119,no
39,blue-collar,married,primary,no,279,yes,no,361,no
59,entrepreneur,divorced,secondary,no,901,yes,no,73,no
30,technician,single,secondary,no,2573,yes,no,67,no
36,services,married,secondary,no,143,yes,yes,350,no
40,blue-collar,married,secondary,no,475,yes,no,332,no
53,blue-collar,married,secondary,no,70,yes,no,611,no
34,management,single,tertiary,no,318,yes,no,113,no
37,technician,married,secondary,no,275,yes,no,132,no
42,management,divorced,tertiary,no,742,yes,no,58,no
41,entrepreneur,married,primary,no,236,yes,no,151,no
30,student,single,tertiary,no,25,yes,no,89,no
37,management,single,tertiary,no,600,yes,no,152,no
39,admin.,divorced,secondary,no,-349,yes,no,611,no
41,blue-collar,married,primary,no,183,yes,yes,110,no
40,blue-collar,married,primary,no,0,yes,no,463,no
42,management,single,tertiary,no,0,yes,yes,562,yes
40,blue-collar,divorced,primary,no,0,yes,no,962,no
57,technician,married,secondary,no,1078,yes,no,10,no
56,entrepreneur,divorced,secondary,no,155,no,no,118,no
37,admin.,married,secondary,no,190,yes,no,92,no
59,retired,married,secondary,no,319,yes,no,143,no
39,services,divorced,secondary,no,-185,yes,no,189,no
49,services,married,secondary,no,47,no,no,234,no
38,services,single,secondary,no,570,yes,no,75,no
36,self-employed,married,tertiary,no,19,no,no,189,no
50,blue-collar,married,primary,no,61,yes,no,621,no
41,admin.,married,secondary,no,-62,yes,yes,55,no
54,technician,married,tertiary,no,258,no,no,310,no
58,blue-collar,married,primary,no,76,yes,no,156,no
30,blue-collar,single,secondary,no,0,yes,no,5,no
33,admin.,single,secondary,no,352,yes,no,225,no
47,admin.,married,secondary,no,368,yes,no,125,no
50,technician,single,tertiary,no,339,yes,no,2,no
32,blue-collar,married,secondary,no,1331,yes,no,286,no
40,self-employed,married,secondary,no,672,yes,no,164,no
37,management,married,tertiary,no,58,yes,no,98,no
54,technician,single,unknown,no,447,yes,no,742,no
24,student,single,secondary,no,423,yes,no,226,no
54,management,married,tertiary,no,0,no,no,120,no
34,technician,married,secondary,no,19,yes,no,362,no
56,technician,divorced,primary,no,13,yes,no,357,no
31,blue-collar,single,secondary,no,3,yes,no,200,no
24,student,single,secondary,no,82,yes,no,204,no
42,blue-collar,divorced,primary,no,28,yes,no,126,no
57,technician,married,secondary,no,792,yes,no,65,no
42,blue-collar,married,unknown,no,408,yes,no,107,no
51,admin.,married,secondary,no,531,yes,no,267,no
57,retired,married,secondary,no,211,yes,no,248,no
36,services,single,secondary,no,62,yes,no,215,no
53,services,married,unknown,no,257,yes,no,209,no
50,technician,married,secondary,no,1234,yes,no,205,no
54,management,married,tertiary,no,313,yes,no,83,no
55,blue-collar,married,secondary,no,89,yes,no,106,no
44,blue-collar,married,secondary,no,129,yes,yes,189,no
43,management,married,unknown,no,0,yes,no,105,no
56,admin.,married,secondary,no,353,yes,no,106,no
54,technician,married,unknown,no,851,yes,no,108,no
55,services,divorced,primary,no,96,yes,yes,311,no
37,services,divorced,secondary,no,398,yes,yes,214,no
33,admin.,single,tertiary,no,193,no,no,132,no
46,admin.,married,secondary,no,-358,yes,no,358,no
36,blue-collar,married,secondary,no,539,yes,yes,453,no
51,technician,single,secondary,no,0,yes,no,364,no
40,retired,single,primary,no,0,no,no,136,no
42,blue-collar,married,secondary,no,490,yes,no,386,no
51,blue-collar,married,secondary,no,0,yes,no,173,no
49,blue-collar,married,unknown,no,403,yes,no,241,no
48,management,married,secondary,no,161,yes,no,224,no
32,technician,divorced,tertiary,no,2558,no,no,148,no
31,admin.,single,secondary,no,98,yes,no,196,no
55,management,single,tertiary,no,115,no,no,111,no
40,blue-collar,single,secondary,no,436,yes,no,231,no
47,technician,married,tertiary,no,831,yes,no,316,no
57,technician,married,unknown,no,206,yes,no,216,no
41,blue-collar,married,secondary,no,290,yes,no,240,no
48,blue-collar,married,secondary,no,1,no,no,669,no
42,blue-collar,married,unknown,no,57,yes,no,425,no
30,blue-collar,single,secondary,no,-457,yes,no,143,no
58,management,single,tertiary,no,1387,yes,no,174,no
45,management,divorced,tertiary,no,24598,yes,no,313,no
49,blue-collar,married,secondary,no,30,yes,no,135,no
42,admin.,single,secondary,no,1022,yes,no,146,no
53,technician,married,secondary,no,56,yes,yes,152,no
51,admin.,single,secondary,yes,-2,no,no,402,no
32,services,single,secondary,no,121,yes,no,213,no
41,blue-collar,single,secondary,no,842,yes,no,144,no
43,management,divorced,secondary,no,693,yes,no,124,no
40,blue-collar,divorced,secondary,no,-333,yes,no,183,no
50,blue-collar,married,primary,no,1533,yes,no,325,no
34,management,married,tertiary,no,46,yes,no,39,no
53,services,married,unknown,no,18,no,no,503,no
45,technician,married,secondary,no,44,yes,no,95,no
39,blue-collar,married,primary,no,-100,yes,no,680,no
44,services,married,tertiary,no,510,yes,no,421,no
55,management,married,tertiary,no,685,yes,no,174,no
46,management,single,tertiary,no,187,yes,no,113,no
45,blue-collar,married,secondary,no,66,yes,no,808,no
34,admin.,married,secondary,no,560,yes,no,198,no
36,blue-collar,married,secondary,no,0,yes,no,195,no
59,unknown,divorced,unknown,no,27,no,no,347,no
31,admin.,single,secondary,no,12,yes,no,208,no
44,blue-collar,single,secondary,no,34,yes,no,404,no
33,entrepreneur,single,tertiary,no,1068,yes,no,396,no
40,blue-collar,married,secondary,no,211,yes,no,216,no
46,admin.,single,tertiary,no,377,yes,no,98,no
48,management,married,tertiary,no,263,yes,no,350,no
42,services,married,secondary,no,1263,yes,no,114,no
27,services,married,secondary,no,8,yes,no,88,no
48,admin.,married,secondary,no,126,yes,yes,379,no
59,admin.,married,secondary,no,230,yes,no,190,no
46,technician,married,tertiary,no,841,yes,no,158,no
38,admin.,divorced,secondary,no,308,yes,no,102,no
43,management,divorced,tertiary,no,1,yes,no,306,no
38,admin.,divorced,tertiary,no,86,yes,no,218,no
23,student,single,secondary,no,157,yes,no,54,no
34,services,married,secondary,no,22,yes,no,344,no
38,admin.,married,secondary,no,46,yes,yes,195,no
37,blue-collar,married,secondary,no,1293,no,no,652,no
25,admin.,single,secondary,no,122,yes,no,286,no
48,blue-collar,married,unknown,no,131,yes,no,189,no
49,blue-collar,single,secondary,no,143,yes,no,83,no
38,admin.,single,secondary,no,393,no,no,184,no
43,blue-collar,married,primary,no,98,yes,no,235,no
33,management,married,tertiary,no,0,yes,no,290,no
55,blue-collar,married,secondary,no,224,yes,no,232,no
38,blue-collar,married,secondary,no,757,yes,no,133,no
49,services,married,secondary,no,245,yes,yes,318,no
40,management,married,secondary,no,8486,no,no,260,no
43,admin.,married,unknown,no,350,no,no,437,no
38,blue-collar,married,secondary,no,20,yes,no,402,no
58,services,married,secondary,no,1667,yes,yes,85,no
57,technician,married,unknown,no,345,yes,no,125,no
32,unemployed,married,secondary,no,10,yes,no,501,no
56,management,married,tertiary,no,830,yes,yes,1201,yes
58,blue-collar,divorced,unknown,no,29,yes,no,253,no
60,retired,divorced,secondary,no,545,yes,no,1030,yes
37,technician,married,tertiary,no,8730,yes,no,149,no
46,technician,divorced,tertiary,no,477,yes,no,114,no
27,admin.,married,secondary,no,4,yes,no,243,no
43,blue-collar,married,secondary,no,1205,yes,no,769,no
32,technician,single,secondary,no,0,yes,yes,135,no
40,admin.,single,secondary,no,263,yes,no,231,no
38,admin.,married,secondary,no,1,no,no,76,no
34,blue-collar,married,secondary,no,283,no,yes,199,no
47,blue-collar,married,primary,no,206,yes,no,152,no
42,housemaid,married,primary,no,17,yes,no,124,no
48,technician,married,secondary,no,141,yes,yes,424,no
29,self-employed,single,tertiary,no,16,yes,no,43,no
50,services,married,secondary,no,206,yes,no,154,no
52,technician,married,unknown,no,7,no,no,203,no
50,management,married,tertiary,no,0,no,no,326,no
58,retired,married,tertiary,no,0,no,no,393,no
46,blue-collar,divorced,primary,no,1927,yes,no,241,no
38,technician,married,secondary,no,284,yes,no,483,no
46,blue-collar,married,secondary,no,1660,yes,no,259,no
32,services,single,secondary,no,406,yes,no,227,no
51,blue-collar,married,primary,no,230,yes,no,673,no
39,admin.,single,secondary,no,-25,yes,no,576,no
48,admin.,married,secondary,no,182,yes,no,180,no
36,entrepreneur,married,tertiary,no,1169,yes,no,168,no
34,admin.,divorced,secondary,no,67,yes,no,90,no
40,technician,married,secondary,no,77,no,no,505,no
43,unemployed,married,secondary,no,0,yes,no,245,no
52,blue-collar,divorced,primary,no,55,yes,yes,186,no
33,technician,married,secondary,yes,72,yes,no,623,no
49,management,single,tertiary,no,163,yes,no,496,no
32,management,single,tertiary,no,151,yes,no,118,no
39,admin.,single,secondary,no,113,yes,no,342,no
40,blue-collar,married,secondary,no,0,yes,no,225,no
38,technician,single,tertiary,no,9,yes,no,185,no
43,management,married,secondary,no,375,yes,no,196,no
39,services,married,secondary,no,1142,yes,no,276,no
54,blue-collar,married,primary,no,2102,yes,no,76,no
38,technician,single,tertiary,no,4325,yes,no,87,no
40,blue-collar,married,secondary,no,217,yes,no,195,no
55,admin.,married,secondary,no,131,yes,no,744,no
42,management,married,tertiary,no,1680,yes,no,765,no
39,blue-collar,married,secondary,no,0,yes,no,262,no
40,blue-collar,married,primary,no,46,yes,no,119,no
32,blue-collar,married,secondary,no,320,yes,no,198,no
55,admin.,married,secondary,no,183,yes,no,150,no
45,blue-collar,married,secondary,no,39,no,no,241,no
35,management,single,tertiary,no,560,yes,no,181,no
58,technician,divorced,secondary,no,469,no,no,196,no
35,admin.,married,secondary,no,530,yes,no,149,no
49,services,married,primary,no,61,yes,no,246,no
34,technician,single,tertiary,no,242,yes,no,112,no
36,blue-collar,married,secondary,no,139,yes,no,309,no
24,self-employed,single,secondary,no,0,yes,no,278,no
34,technician,married,secondary,no,367,yes,no,140,no
51,admin.,divorced,secondary,no,228,yes,no,136,no
39,technician,single,unknown,no,45248,yes,no,1623,yes
50,self-employed,married,unknown,no,-84,yes,no,101,no
32,services,single,secondary,no,310,yes,no,144,no
42,blue-collar,married,unknown,no,132,yes,no,238,no
50,technician,married,secondary,no,797,yes,no,354,no
40,services,married,secondary,no,71,no,no,79,no
46,management,divorced,unknown,no,2,yes,no,187,no
37,management,married,tertiary,no,231,yes,yes,451,no
34,blue-collar,married,secondary,no,270,yes,yes,159,no
44,blue-collar,married,secondary,no,274,yes,yes,409,no
40,admin.,single,secondary,no,-109,yes,yes,170,no
37,technician,married,secondary,no,1,yes,no,608,yes
33,blue-collar,single,secondary,yes,-60,no,no,243,no
35,blue-collar,married,secondary,no,89,yes,no,145,no
58,blue-collar,divorced,secondary,no,-11,no,no,112,no
39,blue-collar,married,primary,no,0,yes,no,262,no
43,blue-collar,married,secondary,no,-509,yes,no,124,no
39,unemployed,married,primary,no,408,yes,no,53,no
36,services,single,primary,no,58,yes,no,134,no
57,retired,single,secondary,no,1640,no,yes,204,no
36,admin.,single,secondary,no,20,yes,no,186,no
50,blue-collar,married,primary,no,71,yes,no,678,no
55,blue-collar,married,secondary,no,52,yes,no,182,no
44,self-employed,married,tertiary,no,292,yes,no,162,no
44,services,divorced,secondary,no,424,yes,no,27,no
39,housemaid,single,primary,no,109,yes,no,699,no
46,blue-collar,married,unknown,no,1044,yes,no,43,no
39,blue-collar,married,secondary,no,983,yes,no,97,no
34,admin.,married,secondary,no,869,no,no,1677,yes
40,blue-collar,married,primary,no,668,yes,no,283,no
50,management,married,tertiary,no,964,yes,no,323,no
31,management,single,secondary,no,301,yes,no,82,no
37,admin.,single,secondary,no,140,yes,no,310,no
39,management,single,secondary,no,1877,yes,no,185,no
51,blue-collar,married,primary,no,1127,yes,no,47,no
41,technician,married,secondary,no,871,yes,no,145,no
41,technician,married,secondary,no,767,yes,yes,204,no
43,blue-collar,married,secondary,no,0,no,no,187,no
30,services,single,secondary,no,209,yes,no,30,no
54,management,divorced,primary,no,0,no,no,472,no
43,blue-collar,divorced,secondary,no,110,yes,yes,448,no
59,management,divorced,tertiary,no,-76,yes,yes,264,no
47,technician,married,unknown,no,178,yes,no,169,no
40,blue-collar,married,primary,no,-66,yes,no,288,no
32,technician,married,secondary,no,0,yes,no,176,no
29,blue-collar,married,secondary,no,1,yes,no,215,no
36,blue-collar,married,secondary,no,0,yes,no,337,no
55,unemployed,married,tertiary,no,5345,no,no,278,no
30,blue-collar,divorced,secondary,no,-209,yes,no,188,no
39,admin.,single,secondary,no,0,yes,no,174,no
39,blue-collar,divorced,secondary,no,42,yes,no,226,no
50,blue-collar,divorced,secondary,no,41,yes,no,190,no
44,blue-collar,married,secondary,no,-99,yes,no,111,no
37,technician,single,secondary,no,17,yes,no,164,no
46,admin.,married,primary,no,276,yes,yes,157,no
32,technician,single,unknown,no,-170,no,no,46,no
37,management,single,tertiary,no,230,yes,yes,374,no
29,blue-collar,married,secondary,no,9,yes,no,349,no
41,blue-collar,married,secondary,no,946,yes,no,325,no
45,blue-collar,married,primary,no,1297,yes,no,233,no
57,retired,divorced,secondary,no,-331,yes,no,531,no
48,blue-collar,single,secondary,no,44,yes,no,153,no
60,retired,married,secondary,yes,15,no,no,80,no
26,admin.,single,secondary,no,712,yes,no,232,no
58,retired,married,secondary,no,5435,yes,no,118,no
34,admin.,married,secondary,no,507,yes,no,190,no
55,unemployed,divorced,secondary,no,387,yes,no,918,yes
41,blue-collar,married,primary,no,0,yes,yes,238,no
50,management,divorced,secondary,no,1716,yes,no,82,no
49,entrepreneur,married,secondary,no,167,yes,yes,198,no
44,admin.,married,unknown,no,40,no,yes,160,no
44,blue-collar,married,primary,no,148,yes,no,211,no
31,technician,married,secondary,no,17,yes,yes,120,no
34,blue-collar,single,tertiary,no,1011,yes,no,136,no
46,management,single,unknown,no,1527,yes,no,269,no
42,management,married,tertiary,no,744,no,no,157,no
52,admin.,married,secondary,no,484,yes,no,128,no
29,management,single,tertiary,no,0,yes,no,211,no
53,retired,married,primary,no,136,yes,no,267,no
43,blue-collar,married,secondary,no,1335,yes,no,371,no
38,management,married,secondary,no,517,yes,no,288,no
46,management,married,tertiary,no,459,yes,no,221,no
48,management,divorced,unknown,no,549,yes,no,427,no
30,admin.,divorced,secondary,no,83,yes,yes,310,no
44,blue-collar,married,primary,no,213,no,no,158,no
31,housemaid,married,primary,no,203,yes,no,604,no
42,services,single,secondary,no,518,yes,no,198,no
40,management,single,tertiary,no,3877,yes,no,145,no
52,admin.,married,secondary,no,1236,yes,no,247,no
45,blue-collar,divorced,secondary,no,756,yes,no,179,no
48,blue-collar,married,secondary,no,157,yes,no,73,no
45,blue-collar,married,primary,no,-66,yes,no,263,no
34,blue-collar,married,unknown,no,245,yes,no,13,no
34,blue-collar,married,primary,no,-144,yes,no,79,no
46,blue-collar,married,secondary,no,71,yes,no,416,no
49,services,divorced,secondary,no,505,yes,no,162,no
50,technician,married,primary,no,249,yes,no,129,no
34,admin.,single,secondary,no,0,yes,no,150,no
